tag,anaxupdate
                  10,               213
                  25,               352
                  50,               723
                 100,              1410
                 200,              2755
                 400,              6096
                 800,             10898
                1600,             23949
                3200,             56712
                5000,             76569
               10000,            156026
               30000,            810357
              100000,           6289935
              500000,          31604772
             1000000,         102945746
             2000000,         260014457
