tag,anaxupdate
                  10,               215
                  25,               355
                  50,               718
                 100,              1389
                 200,              2817
                 400,              5936
                 800,             12016
                1600,             24171
                3200,             57471
                5000,             78354
               10000,            200086
               30000,            778523
              100000,           7100456
              500000,          52171860
             1000000,         111316146
             2000000,         242390371
