tag,entityx-eventbus
                  10,               389
                  50,              1909
                 100,              3844
                 300,             11521
                1000,             38154
                5000,            190784
               10000,            384052
               20000,            763215
               50000,           1913766
              100000,           3826155
              200000,           7696640
              500000,          19198715
