tag,entityx2update
                  10,                53
                  25,               137
                  50,               260
                 100,               493
                 200,               966
                 400,              1964
                 800,              4179
                1600,             13659
                3200,             23864
                5000,             37653
               10000,             88891
               30000,            231173
              100000,           1330690
              500000,           9473451
             1000000,          18854166
             2000000,          38226256
             5000000,          94826199
            10000000,         211843567
            20000000,         423660030
