tag,entityx2update
                  10,                51
                  25,               133
                  50,               245
                 100,               472
                 200,               936
                 400,              1909
                 800,              4020
                1600,              7982
                3200,             16628
                5000,             25993
               10000,             87386
               30000,            266288
              100000,           1602242
              500000,          10140176
             1000000,          20605794
             2000000,          41483953
             5000000,         104219412
            10000000,         231114705
            20000000,         457692962
