tag,enttupdate
                  10,                41
                  25,                96
                  50,               180
                 100,               355
                 200,               696
                 400,              1384
                 800,              2832
                1600,              5618
                3200,             11223
                5000,             18778
               10000,             49439
               30000,            148351
              100000,            392180
              500000,           3203945
             1000000,           7650015
             2000000,          14587181
             5000000,          39510625
            10000000,          84741303
            20000000,         165317753
