tag,enttupdate
                  10,                43
                  25,                98
                  50,               181
                 100,               360
                 200,               703
                 400,              1413
                 800,              2871
                1600,              5734
                3200,             11782
                5000,             17783
               10000,             45304
               30000,            107900
              100000,            535181
              500000,           3988693
             1000000,           8077775
             2000000,          16112994
             5000000,          42059818
            10000000,          97324705
            20000000,         195239674
