tag,ginsengupdate
                  10,                37
                  25,                81
                  50,               160
                 100,               313
                 200,               603
                 400,              1268
                 800,              2584
                1600,              5372
                3200,             10073
                5000,             15801
               10000,             32279
               30000,             95707
              100000,            352036
              500000,           3028208
             1000000,           5720831
             2000000,          11911429
             5000000,          31245985
            10000000,          64088431
            20000000,         124639709
