;"ecsupdate";"enttupdate";"ginsengupdate";"entityx1update";"entityx2update";"entt-groupupdate";"enttlegacyupdate";"entt-runtimeupdate"
"10";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"25";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"50";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"100";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"400";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"800";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"1600";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"3200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"5000";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"10000";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"30000";0.002s;0.000s;0.000s;0.001s;0.000s;0.000s;0.000s;0.000s
"100000";0.008s;0.000s;0.001s;0.003s;0.001s;0.000s;0.000s;0.001s
"500000";0.038s;0.003s;0.004s;0.017s;0.009s;0.002s;0.003s;0.006s
"1000000";0.077s;0.006s;0.008s;0.036s;0.019s;0.005s;0.007s;0.013s
"2000000";0.150s;0.012s;0.015s;0.070s;0.037s;0.010s;0.014s;0.027s
"5000000";0.398s;0.029s;0.038s;0.179s;0.093s;0.026s;0.037s;0.072s
"10000000";0.793s;0.059s;0.078s;0.352s;0.185s;0.055s;0.076s;0.143s
"20000000";1.699s;0.117s;0.160s;0.743s;0.367s;0.121s;0.153s;0.289s
