;"anaxupdate";"enttupdate";"artemisupdate";"ginsengupdate";"entityx1update";"entityx2update";"entt-groupupdate";"enttlegacyupdate";"entt-runtimeupdate"
"10";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"25";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"50";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"100";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"400";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"800";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"1600";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"3200";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"5000";0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"10000";0.000s;0.000s;0.001s;0.000s;0.000s;0.000s;0.000s;0.000s;0.000s
"30000";0.001s;0.000s;0.002s;0.000s;0.001s;0.000s;0.000s;0.000s;0.000s
"100000";0.008s;0.000s;0.023s;0.001s;0.004s;0.001s;0.000s;0.001s;0.001s
"500000";0.053s;0.003s;36.451s;0.004s;0.020s;0.009s;0.002s;0.003s;0.006s
"1000000";0.114s;0.005s;91.216s;0.007s;0.041s;0.017s;0.005s;0.007s;0.012s
"2000000";0.253s;0.011s;"N/A";0.015s;0.083s;0.035s;0.010s;0.014s;0.025s
"5000000";"N/A";0.028s;"N/A";0.038s;0.230s;0.090s;0.025s;0.036s;0.066s
"10000000";"N/A";0.057s;"N/A";0.078s;0.472s;0.187s;0.054s;0.080s;0.139s
"20000000";"N/A";0.117s;"N/A";0.163s;1.295s;0.397s;0.124s;0.149s;0.278s
